Source	Target	Type
104834449	or	Undirected
104834449	own	Undirected
104834449	palabras	Undirected
104834449	plano	Undirected
104834449	salvajemente	Undirected
104834449	siemore	Undirected
104834449	take	Undirected
104834449	the	Undirected
104834449	to	Undirected
104834449	vida	Undirected
104834449	what	Undirected
104834449	you	Undirected
104834449	your	Undirected
104834449	yours	Undirected
104834449	❣	Undirected
104834449	🏽	Undirected
104834449	👏	Undirected
104834449	😍	Undirected
104834449	🙈	Undirected
1049479316	gana	Undirected
1049479316	quejándome	Undirected
1049479316	rápido	Undirected
1049479316	trasnocho	Undirected
1049479316	🔫	Undirected
1051555255	mama	Undirected
1051555255	temblores	Undirected
1051555255	🙄	Undirected
105161456	jugamos	Undirected
105161456	tirarnos	Undirected
105161456	👀	Undirected
105167856	santa	Undirected
1054031496	agua	Undirected
1054031496	manuel	Undirected
105525409	días	Undirected
1055982750	amennnnnnnnnnnnnnnnnnnnnnnnnnn	Undirected
1055982750	firmas	Undirected
105651598	#brexit	Undirected
105651598	's	Undirected
105651598	another	Undirected
105651598	by	Undirected
105651598	day	Undirected
105651598	flesh	Undirected
105651598	floyd	Undirected
105651598	in	Undirected
105651598	infamous	Undirected
105651598	libre	Undirected
105651598	of	Undirected
105651598	on	Undirected
105651598	pink	Undirected
105651598	pt	Undirected
105651598	teatro	Undirected
105651598	the	Undirected
1059018210	did	Undirected
1059018210	faithful	Undirected
1059018210	happy	Undirected
1059018210	know	Undirected
1059018210	my	Undirected
1059018210	tooo	Undirected
1059018210	🎉	Undirected
1059018210	😈	Undirected
105990360	medellín	Undirected
106004158	desgracia	Undirected
106004158	dormido	Undirected
106004158	gente	Undirected
106004158	hora	Undirected
106004158	😢	Undirected
106086143	caja	Undirected
106086143	pelaez	Undirected
106086143	pipe	Undirected
1063038325	acércate	Undirected
1063038325	angustia	Undirected
1063038325	confianza	Undirected
1063038325	creación	Undirected
1063038325	cuidado	Undirected
1063038325	debilidades	Undirected
1063038325	dios	Undirected
1063038325	día	Undirected
1063038325	encontraras	Undirected
1063038325	este	Undirected
1063038325	fe	Undirected
1063038325	futuro	Undirected
1063038325	gracia	Undirected
1063038325	humano	Undirected
1063038325	imposible	Undirected
1063038325	lléname	Undirected
1063038325	misericordia	Undirected
1063038325	obra	Undirected
1063038325	ojos	Undirected
1063038325	presencia	Undirected
1063038325	problema	Undirected
1063038325	q	Undirected
1063038325	sacerdote	Undirected
1063038325	salmo	Undirected
1063038325	sumo	Undirected
1063038325	tamaño	Undirected
1063038325	trono	Undirected
1063038325	vida	Undirected
1063038325	visión	Undirected
1063038325	⚜	Undirected
1063038325	✨	Undirected
1063038325	🌴	Undirected
1063038325	🏊	Undirected
1063038325	🏋	Undirected
1063038325	🏻	Undirected
1063038325	🏼	Undirected
1063038325	👑	Undirected
1063038325	🙌	Undirected
1063038325	🚴	Undirected
106563510	chisme	Undirected
106563510	cosa	Undirected
106563510	mejores	Undirected
106563510	who	Undirected
1066461836	frío	Undirected
1069234963	at	Undirected
1069234963	fuck	Undirected
1069234963	house	Undirected
1069234963	my	Undirected
1069234963	party	Undirected
1069234963	wednesday	Undirected
1069234963	you	Undirected
1069234963	🏼	Undirected
1069234963	👌	Undirected
1069234963	😂	Undirected
1069234963	😘	Undirected
1070154709	bendiciones	Undirected
1070154709	cumpleaños	Undirected
1070154709	día	Undirected
1070154709	feliz	Undirected
1070154709	jajajajjajajajajajajjajajja	Undirected
1070154709	justo	Undirected
1070154709	tantoo	Undirected
1070154709	tengas	Undirected
1070154709	✨	Undirected
107399407	alcatraz	Undirected
107399407	at	Undirected
107399407	bogotá	Undirected
107399407	capital	Undirected
107399407	casa	Undirected
107399407	colectivos	Undirected
107399407	del	Undirected
107399407	distrito	Undirected
107399407	i	Undirected
107399407	in	Undirected
107399407	paradero	Undirected
107399407	san	Undirected
1074592592	calor	Undirected
1075267482	dinero	Undirected
1075267482	error	Undirected
1075267482	esto	Undirected
1075267482	hum	Undirected
107598401	i.	Undirected
107598401	malek	Undirected
107598401	😅	Undirected
1077048704	dios	Undirected
1077048704	nunca	Undirected
1077048704	pagos	Undirected
1077048704	siempre	Undirected
1077048704	solo	Undirected
1077048704	venta	Undirected
1078253940	're	Undirected
1078253940	all	Undirected
1078253940	am	Undirected
1078253940	be	Undirected
1078253940	curarme	Undirected
1078253940	fine	Undirected
1078253940	head	Undirected
1078253940	in	Undirected
1078253940	is	Undirected
1078253940	my	Undirected
1078253940	of	Undirected
1078253940	or	Undirected
1078253940	past	Undirected
1078253940	stone	Undirected
1078253940	the	Undirected
1078253940	want	Undirected
1080887696	@mirkaselena	Undirected
1080887696	miss	Undirected
1080887696	pelada	Undirected
1080887696	👅	Undirected
1082003094	jaja	Undirected
1082003094	sombrita	Undirected
108334306	salud	Undirected
108334306	semana	Undirected
1083440198	rápido	Undirected
108452808	broche	Undirected
108452808	maluca	Undirected
108452808	noche	Undirected
108452808	😡	Undirected
1087339058	👇	Undirected
1087432483	años	Undirected
1087432483	dios	Undirected
1087432483	gracias	Undirected
1087432483	pana	Undirected
1087432483	viejos	Undirected
1087627454	#puntoparaelalcohol	Undirected
1087627454	@zandralegua	Undirected
1087627454	ajodfnasdjfasd	Undirected
1087627454	aspecto	Undirected
1087627454	cosas	Undirected
1087627454	gimes	Undirected
1087627454	hielo	Undirected
1087627454	jajajaja	Undirected
1087627454	jajajajajaja	Undirected
1087627454	literal	Undirected
1087627454	mal	Undirected
1087627454	mierda	Undirected
1087627454	😂	Undirected
109126744	>	Undirected
109126744	broken	Undirected
109126744	c	Undirected
109126744	clouds	Undirected
109126744	down	Undirected
109126744	humidity	Undirected
109126744	scattered	Undirected
109126744	temperature	Undirected
109126744	up	Undirected
109319246	bae	Undirected
109319246	cervecitas	Undirected
109319246	cerveza	Undirected
109319246	chevechita	Undirected
109319246	gachas	Undirected
109319246	is	Undirected
109319246	mood	Undirected
109382115	@almagrooea2015	Undirected
109382115	gestion	Undirected
109382115	gracias	Undirected
109382115	nombre	Undirected
