A302100 - Total Workers (1) (Workers 16 years and over),,,
Current date: 5/28/2017 10:35:29 AM (Eastern Daylight Time),,,
RESIDENCE,WORKPLACE,Output,Workers 16 and Over
California,Nebraska,Margin of Error,155
California,Nevada,Estimate,"14,170"
California,Nevada,Margin of Error,970
California,New Hampshire,Estimate,135
California,New Hampshire,Margin of Error,81
California,New Jersey,Estimate,"1,180"
California,New Jersey,Margin of Error,193
California,New Mexico,Estimate,935
California,New Mexico,Margin of Error,417
California,New York,Estimate,"3,415"
California,New York,Margin of Error,429
California,North Carolina,Estimate,795
California,North Carolina,Margin of Error,181
California,North Dakota,Estimate,70
California,North Dakota,Margin of Error,50
California,Ohio,Estimate,990
California,Ohio,Margin of Error,201
California,Oklahoma,Estimate,395
California,Oklahoma,Margin of Error,138
California,Oregon,Estimate,"3,175"
California,Oregon,Margin of Error,409
California,Pennsylvania,Estimate,"1,575"
California,Pennsylvania,Margin of Error,277
California,Rhode Island,Estimate,310
California,Rhode Island,Margin of Error,178
California,South Carolina,Estimate,220
California,South Carolina,Margin of Error,98
California,South Dakota,Estimate,185
California,South Dakota,Margin of Error,96
California,Tennessee,Estimate,900
California,Tennessee,Margin of Error,232
California,Texas,Estimate,"4,955"
California,Texas,Margin of Error,602
California,Utah,Estimate,"1,415"
California,Utah,Margin of Error,250
California,Vermont,Estimate,105
California,Vermont,Margin of Error,69
California,Virginia,Estimate,"1,460"
California,Virginia,Margin of Error,278
California,Washington,Estimate,"3,845"
California,Washington,Margin of Error,406
California,Wisconsin,Estimate,755
California,Wisconsin,Margin of Error,182
California,Wyoming,Estimate,150
California,Wyoming,Margin of Error,91
California,Puerto Rico,Estimate,160
California,Puerto Rico,Margin of Error,102
Colorado,Alabama,Estimate,85
Colorado,Alabama,Margin of Error,62
Colorado,Alaska,Estimate,270
Colorado,Alaska,Margin of Error,90
Colorado,Arizona,Estimate,"1,095"
Colorado,Arizona,Margin of Error,225
Colorado,Arkansas,Estimate,135
Colorado,Arkansas,Margin of Error,101
Colorado,California,Estimate,"3,190"
Colorado,California,Margin of Error,360
Colorado,Colorado,Estimate,"2,398,625"
Colorado,Colorado,Margin of Error,"6,609"
Colorado,Connecticut,Estimate,135
Colorado,Connecticut,Margin of Error,75
Colorado,Delaware,Estimate,15
Colorado,Delaware,Margin of Error,25
Colorado,District of Columbia,Estimate,310
Colorado,District of Columbia,Margin of Error,129
Colorado,Florida,Estimate,590
Colorado,Florida,Margin of Error,179
Colorado,Georgia,Estimate,540
Colorado,Georgia,Margin of Error,156
Colorado,Hawaii,Estimate,130
Colorado,Hawaii,Margin of Error,71
Colorado,Idaho,Estimate,85
Colorado,Idaho,Margin of Error,59
Colorado,Illinois,Estimate,"1,055"
Colorado,Illinois,Margin of Error,255
Colorado,Indiana,Estimate,250
Colorado,Indiana,Margin of Error,102
Colorado,Iowa,Estimate,225
Colorado,Iowa,Margin of Error,139
Colorado,Kansas,Estimate,"1,015"
Colorado,Kansas,Margin of Error,215
Colorado,Kentucky,Estimate,210
Colorado,Kentucky,Margin of Error,100
Colorado,Louisiana,Estimate,240
Colorado,Louisiana,Margin of Error,125
Colorado,Maine,Estimate,30
Colorado,Maine,Margin of Error,30
Colorado,Maryland,Estimate,360
Colorado,Maryland,Margin of Error,121
Colorado,Massachusetts,Estimate,195
Colorado,Massachusetts,Margin of Error,96
Colorado,Michigan,Estimate,310
Colorado,Michigan,Margin of Error,120
Colorado,Minnesota,Estimate,525
Colorado,Minnesota,Margin of Error,169
Colorado,Mississippi,Estimate,15
Colorado,Mississippi,Margin of Error,24
Colorado,Missouri,Estimate,585
Colorado,Missouri,Margin of Error,183
Colorado,Montana,Estimate,255
Colorado,Montana,Margin of Error,94
Colorado,Nebraska,Estimate,895
Colorado,Nebraska,Margin of Error,160
Colorado,Nevada,Estimate,510
Colorado,Nevada,Margin of Error,155
Colorado,New Hampshire,Estimate,45
Colorado,New Hampshire,Margin of Error,39
Colorado,New Jersey,Estimate,395
Colorado,New Jersey,Margin of Error,132
Colorado,New Mexico,Estimate,"2,265"
Colorado,New Mexico,Margin of Error,348
Colorado,New York,Estimate,700
Colorado,New York,Margin of Error,188
Colorado,North Carolina,Estimate,205
Colorado,North Carolina,Margin of Error,100
Colorado,North Dakota,Estimate,175
Colorado,North Dakota,Margin of Error,76
Colorado,Ohio,Estimate,390
Colorado,Ohio,Margin of Error,111
Colorado,Oklahoma,Estimate,390
Colorado,Oklahoma,Margin of Error,174
Colorado,Oregon,Estimate,235
Colorado,Oregon,Margin of Error,106
Colorado,Pennsylvania,Estimate,425
Colorado,Pennsylvania,Margin of Error,122
Colorado,Rhode Island,Estimate,45
Colorado,Rhode Island,Margin of Error,36
Colorado,South Carolina,Estimate,70
Colorado,South Carolina,Margin of Error,51
Colorado,South Dakota,Estimate,190
Colorado,South Dakota,Margin of Error,96
Colorado,Tennessee,Estimate,330
Colorado,Tennessee,Margin of Error,154
Colorado,Texas,Estimate,"2,590"
Colorado,Texas,Margin of Error,352
Colorado,Utah,Estimate,"1,245"
Colorado,Utah,Margin of Error,212
Colorado,Vermont,Estimate,15
Colorado,Vermont,Margin of Error,25
Colorado,Virginia,Estimate,390
Colorado,Virginia,Margin of Error,122
Colorado,Washington,Estimate,670
Colorado,Washington,Margin of Error,201
Colorado,West Virginia,Estimate,15
Colorado,West Virginia,Margin of Error,23
Colorado,Wisconsin,Estimate,405
Colorado,Wisconsin,Margin of Error,180
Colorado,Wyoming,Estimate,"3,550"
Colorado,Wyoming,Margin of Error,483
Colorado,Puerto Rico,Estimate,30
Colorado,Puerto Rico,Margin of Error,31
Connecticut,Alabama,Estimate,20
Connecticut,Alabama,Margin of Error,34
Connecticut,Arizona,Estimate,80
Connecticut,Arizona,Margin of Error,47
Connecticut,California,Estimate,710
Connecticut,California,Margin of Error,189
Connecticut,Colorado,Estimate,110
Connecticut,Colorado,Margin of Error,60
Connecticut,Connecticut,Estimate,"1,618,120"
Connecticut,Connecticut,Margin of Error,"5,418"
Connecticut,Delaware,Estimate,50
Connecticut,Delaware,Margin of Error,40
Connecticut,District of Columbia,Estimate,325
Connecticut,District of Columbia,Margin of Error,117
Connecticut,Florida,Estimate,545
Connecticut,Florida,Margin of Error,124
Connecticut,Georgia,Estimate,200
Connecticut,Georgia,Margin of Error,101
Connecticut,Hawaii,Estimate,40
Connecticut,Hawaii,Margin of Error,34
Connecticut,Idaho,Estimate,25
Connecticut,Idaho,Margin of Error,28
Connecticut,Illinois,Estimate,340
Connecticut,Illinois,Margin of Error,109
Connecticut,Indiana,Estimate,35
Connecticut,Indiana,Margin of Error,35
Connecticut,Kansas,Estimate,15
Connecticut,Kansas,Margin of Error,24
Connecticut,Kentucky,Estimate,50
Connecticut,Kentucky,Margin of Error,41
Connecticut,Louisiana,Estimate,55
Connecticut,Louisiana,Margin of Error,47
Connecticut,Maine,Estimate,210
Connecticut,Maine,Margin of Error,110
Connecticut,Maryland,Estimate,380
Connecticut,Maryland,Margin of Error,119
Connecticut,Massachusetts,Estimate,"20,200"
Connecticut,Massachusetts,Margin of Error,878
Connecticut,Michigan,Estimate,255
Connecticut,Michigan,Margin of Error,121
Connecticut,Minnesota,Estimate,95
Connecticut,Minnesota,Margin of Error,56
Connecticut,Mississippi,Estimate,20
Connecticut,Mississippi,Margin of Error,26
Connecticut,Missouri,Estimate,90
Connecticut,Missouri,Margin of Error,56
Connecticut,Nebraska,Estimate,10
Connecticut,Nebraska,Margin of Error,15
Connecticut,Nevada,Estimate,135
Connecticut,Nevada,Margin of Error,73
Connecticut,New Hampshire,Estimate,575
Connecticut,New Hampshire,Margin of Error,193
Connecticut,New Jersey,Estimate,"3,305"
Connecticut,New Jersey,Margin of Error,444
Connecticut,New York,Estimate,"69,645"
Connecticut,New York,Margin of Error,"1,663"
Connecticut,North Carolina,Estimate,225
Connecticut,North Carolina,Margin of Error,102
Connecticut,North Dakota,Estimate,15
Connecticut,North Dakota,Margin of Error,24
Connecticut,Ohio,Estimate,290
Connecticut,Ohio,Margin of Error,122
Connecticut,Oklahoma,Estimate,25
Connecticut,Oklahoma,Margin of Error,35
Connecticut,Oregon,Estimate,50
Connecticut,Oregon,Margin of Error,38
Connecticut,Pennsylvania,Estimate,"1,090"
Connecticut,Pennsylvania,Margin of Error,203
Connecticut,Rhode Island,Estimate,"6,735"
Connecticut,Rhode Island,Margin of Error,537
Connecticut,South Carolina,Estimate,90
Connecticut,South Carolina,Margin of Error,42
Connecticut,Tennessee,Estimate,105
Connecticut,Tennessee,Margin of Error,84
Connecticut,Texas,Estimate,310
Connecticut,Texas,Margin of Error,123
Connecticut,Utah,Estimate,25
Connecticut,Utah,Margin of Error,30
Connecticut,Vermont,Estimate,330
Connecticut,Vermont,Margin of Error,182
Connecticut,Virginia,Estimate,400
Connecticut,Virginia,Margin of Error,151
Connecticut,Washington,Estimate,60
Connecticut,Washington,Margin of Error,47
Connecticut,West Virginia,Estimate,4
Connecticut,West Virginia,Margin of Error,11
Connecticut,Wisconsin,Estimate,60
Connecticut,Wisconsin,Margin of Error,48
Connecticut,Puerto Rico,Estimate,15
Connecticut,Puerto Rico,Margin of Error,21
Delaware,Arizona,Estimate,4
Delaware,Arizona,Margin of Error,14
Delaware,Arkansas,Estimate,10
Delaware,Arkansas,Margin of Error,15
Delaware,California,Estimate,85
Delaware,California,Margin of Error,60
Delaware,Colorado,Estimate,25
Delaware,Colorado,Margin of Error,40
Delaware,Connecticut,Estimate,140
Delaware,Connecticut,Margin of Error,79
Delaware,Delaware,Estimate,"356,545"
Delaware,Delaware,Margin of Error,"3,131"
Delaware,District of Columbia,Estimate,580
Delaware,District of Columbia,Margin of Error,135
Delaware,Florida,Estimate,160
