A302100 - Total Workers (1) (Workers 16 years and over),,,
Current date: 5/28/2017 10:35:29 AM (Eastern Daylight Time),,,
RESIDENCE,WORKPLACE,Output,Workers 16 and Over
Minnesota,Minnesota,Margin of Error,"5,837"
Minnesota,Mississippi,Estimate,70
Minnesota,Mississippi,Margin of Error,38
Minnesota,Missouri,Estimate,380
Minnesota,Missouri,Margin of Error,114
Minnesota,Montana,Estimate,100
Minnesota,Montana,Margin of Error,47
Minnesota,Nebraska,Estimate,290
Minnesota,Nebraska,Margin of Error,89
Minnesota,Nevada,Estimate,90
Minnesota,Nevada,Margin of Error,46
Minnesota,New Hampshire,Estimate,20
Minnesota,New Hampshire,Margin of Error,29
Minnesota,New Jersey,Estimate,330
Minnesota,New Jersey,Margin of Error,94
Minnesota,New Mexico,Estimate,25
Minnesota,New Mexico,Margin of Error,23
Minnesota,New York,Estimate,480
Minnesota,New York,Margin of Error,102
Minnesota,North Carolina,Estimate,180
Minnesota,North Carolina,Margin of Error,73
Minnesota,North Dakota,Estimate,"26,815"
Minnesota,North Dakota,Margin of Error,718
Minnesota,Ohio,Estimate,375
Minnesota,Ohio,Margin of Error,112
Minnesota,Oklahoma,Estimate,65
Minnesota,Oklahoma,Margin of Error,38
Minnesota,Oregon,Estimate,50
Minnesota,Oregon,Margin of Error,36
Minnesota,Pennsylvania,Estimate,380
Minnesota,Pennsylvania,Margin of Error,122
Minnesota,Rhode Island,Estimate,10
Minnesota,Rhode Island,Margin of Error,19
Minnesota,South Carolina,Estimate,90
Minnesota,South Carolina,Margin of Error,48
Minnesota,South Dakota,Estimate,"3,505"
Minnesota,South Dakota,Margin of Error,253
Minnesota,Tennessee,Estimate,195
Minnesota,Tennessee,Margin of Error,90
Minnesota,Texas,Estimate,795
Minnesota,Texas,Margin of Error,158
Minnesota,Utah,Estimate,85
Minnesota,Utah,Margin of Error,65
Minnesota,Virginia,Estimate,195
Minnesota,Virginia,Margin of Error,82
Minnesota,Washington,Estimate,285
Minnesota,Washington,Margin of Error,82
Minnesota,West Virginia,Estimate,80
Minnesota,West Virginia,Margin of Error,64
Minnesota,Wisconsin,Estimate,"18,255"
Minnesota,Wisconsin,Margin of Error,720
Minnesota,Wyoming,Estimate,110
Minnesota,Wyoming,Margin of Error,53
Mississippi,Alabama,Estimate,"7,885"
Mississippi,Alabama,Margin of Error,616
Mississippi,Alaska,Estimate,4
Mississippi,Alaska,Margin of Error,15
Mississippi,Arkansas,Estimate,"1,710"
Mississippi,Arkansas,Margin of Error,316
Mississippi,California,Estimate,220
Mississippi,California,Margin of Error,125
Mississippi,Colorado,Estimate,100
Mississippi,Colorado,Margin of Error,71
Mississippi,District of Columbia,Estimate,35
Mississippi,District of Columbia,Margin of Error,34
Mississippi,Florida,Estimate,670
Mississippi,Florida,Margin of Error,203
Mississippi,Georgia,Estimate,880
Mississippi,Georgia,Margin of Error,218
Mississippi,Hawaii,Estimate,25
Mississippi,Hawaii,Margin of Error,36
Mississippi,Illinois,Estimate,310
Mississippi,Illinois,Margin of Error,120
Mississippi,Indiana,Estimate,170
Mississippi,Indiana,Margin of Error,83
Mississippi,Iowa,Estimate,15
Mississippi,Iowa,Margin of Error,20
Mississippi,Kansas,Estimate,250
Mississippi,Kansas,Margin of Error,182
Mississippi,Kentucky,Estimate,230
Mississippi,Kentucky,Margin of Error,107
Mississippi,Louisiana,Estimate,"19,395"
Mississippi,Louisiana,Margin of Error,"1,027"
Mississippi,Maryland,Estimate,130
Mississippi,Maryland,Margin of Error,105
Mississippi,Massachusetts,Estimate,95
Mississippi,Massachusetts,Margin of Error,59
Mississippi,Michigan,Estimate,180
Mississippi,Michigan,Margin of Error,85
Mississippi,Minnesota,Estimate,95
Mississippi,Minnesota,Margin of Error,61
Mississippi,Mississippi,Estimate,"1,104,125"
Mississippi,Mississippi,Margin of Error,"4,567"
Mississippi,Missouri,Estimate,595
Mississippi,Missouri,Margin of Error,222
Mississippi,Montana,Estimate,10
Mississippi,Montana,Margin of Error,14
Mississippi,Nebraska,Estimate,75
Mississippi,Nebraska,Margin of Error,78
Mississippi,Nevada,Estimate,70
Mississippi,Nevada,Margin of Error,49
Mississippi,New Jersey,Estimate,105
Mississippi,New Jersey,Margin of Error,68
Mississippi,New Mexico,Estimate,60
Mississippi,New Mexico,Margin of Error,51
Mississippi,New York,Estimate,120
Mississippi,New York,Margin of Error,70
Mississippi,North Carolina,Estimate,375
Mississippi,North Carolina,Margin of Error,158
Mississippi,North Dakota,Estimate,4
Mississippi,North Dakota,Margin of Error,15
Mississippi,Ohio,Estimate,125
Mississippi,Ohio,Margin of Error,68
Mississippi,Oklahoma,Estimate,240
Mississippi,Oklahoma,Margin of Error,100
Mississippi,Oregon,Estimate,10
Mississippi,Oregon,Margin of Error,17
Mississippi,Pennsylvania,Estimate,60
Mississippi,Pennsylvania,Margin of Error,54
Mississippi,South Carolina,Estimate,300
Mississippi,South Carolina,Margin of Error,140
Mississippi,Tennessee,Estimate,"52,580"
Mississippi,Tennessee,Margin of Error,"1,608"
Mississippi,Texas,Estimate,"3,860"
Mississippi,Texas,Margin of Error,471
Mississippi,Utah,Estimate,10
Mississippi,Utah,Margin of Error,18
Mississippi,Virginia,Estimate,345
Mississippi,Virginia,Margin of Error,185
Mississippi,Washington,Estimate,25
Mississippi,Washington,Margin of Error,37
Mississippi,West Virginia,Estimate,20
Mississippi,West Virginia,Margin of Error,24
Mississippi,Wisconsin,Estimate,140
Mississippi,Wisconsin,Margin of Error,81
Mississippi,Wyoming,Estimate,50
Mississippi,Wyoming,Margin of Error,36
Missouri,Alabama,Estimate,220
Missouri,Alabama,Margin of Error,86
Missouri,Alaska,Estimate,80
Missouri,Alaska,Margin of Error,52
Missouri,Arizona,Estimate,365
Missouri,Arizona,Margin of Error,141
Missouri,Arkansas,Estimate,"10,490"
Missouri,Arkansas,Margin of Error,695
Missouri,California,Estimate,905
Missouri,California,Margin of Error,213
Missouri,Colorado,Estimate,485
Missouri,Colorado,Margin of Error,153
Missouri,Connecticut,Estimate,175
Missouri,Connecticut,Margin of Error,150
Missouri,District of Columbia,Estimate,195
Missouri,District of Columbia,Margin of Error,83
Missouri,Florida,Estimate,645
Missouri,Florida,Margin of Error,162
Missouri,Georgia,Estimate,675
Missouri,Georgia,Margin of Error,157
Missouri,Hawaii,Estimate,50
Missouri,Hawaii,Margin of Error,36
Missouri,Illinois,Estimate,"22,800"
Missouri,Illinois,Margin of Error,949
Missouri,Indiana,Estimate,900
Missouri,Indiana,Margin of Error,249
Missouri,Iowa,Estimate,"4,275"
Missouri,Iowa,Margin of Error,379
Missouri,Kansas,Estimate,"99,120"
Missouri,Kansas,Margin of Error,"2,066"
Missouri,Kentucky,Estimate,680
Missouri,Kentucky,Margin of Error,194
Missouri,Louisiana,Estimate,475
Missouri,Louisiana,Margin of Error,135
Missouri,Maine,Estimate,50
Missouri,Maine,Margin of Error,41
Missouri,Maryland,Estimate,220
Missouri,Maryland,Margin of Error,73
Missouri,Massachusetts,Estimate,225
Missouri,Massachusetts,Margin of Error,88
Missouri,Michigan,Estimate,365
Missouri,Michigan,Margin of Error,141
Missouri,Minnesota,Estimate,730
Missouri,Minnesota,Margin of Error,220
Missouri,Mississippi,Estimate,505
Missouri,Mississippi,Margin of Error,166
Missouri,Missouri,Estimate,"2,595,950"
Missouri,Missouri,Margin of Error,"6,479"
Missouri,Montana,Estimate,85
Missouri,Montana,Margin of Error,74
Missouri,Nebraska,Estimate,"1,425"
Missouri,Nebraska,Margin of Error,170
Missouri,Nevada,Estimate,125
Missouri,Nevada,Margin of Error,54
Missouri,New Hampshire,Estimate,10
Missouri,New Hampshire,Margin of Error,13
Missouri,New Jersey,Estimate,255
Missouri,New Jersey,Margin of Error,109
Missouri,New Mexico,Estimate,50
Missouri,New Mexico,Margin of Error,32
Missouri,New York,Estimate,470
Missouri,New York,Margin of Error,128
Missouri,North Carolina,Estimate,210
Missouri,North Carolina,Margin of Error,92
Missouri,North Dakota,Estimate,65
Missouri,North Dakota,Margin of Error,40
Missouri,Ohio,Estimate,670
Missouri,Ohio,Margin of Error,173
Missouri,Oklahoma,Estimate,"2,415"
Missouri,Oklahoma,Margin of Error,416
Missouri,Oregon,Estimate,55
Missouri,Oregon,Margin of Error,46
Missouri,Pennsylvania,Estimate,380
Missouri,Pennsylvania,Margin of Error,126
Missouri,Rhode Island,Estimate,25
Missouri,Rhode Island,Margin of Error,33
Missouri,South Carolina,Estimate,95
Missouri,South Carolina,Margin of Error,53
Missouri,South Dakota,Estimate,95
Missouri,South Dakota,Margin of Error,71
Missouri,Tennessee,Estimate,"1,170"
Missouri,Tennessee,Margin of Error,238
Missouri,Texas,Estimate,"1,935"
Missouri,Texas,Margin of Error,323
Missouri,Utah,Estimate,135
Missouri,Utah,Margin of Error,86
Missouri,Virginia,Estimate,515
Missouri,Virginia,Margin of Error,168
Missouri,Washington,Estimate,220
Missouri,Washington,Margin of Error,77
Missouri,West Virginia,Estimate,55
Missouri,West Virginia,Margin of Error,38
Missouri,Wisconsin,Estimate,330
Missouri,Wisconsin,Margin of Error,97
Missouri,Wyoming,Estimate,35
Missouri,Wyoming,Margin of Error,26
Montana,Alaska,Estimate,275
Montana,Alaska,Margin of Error,91
Montana,Arizona,Estimate,160
Montana,Arizona,Margin of Error,68
Montana,Arkansas,Estimate,35
Montana,Arkansas,Margin of Error,39
Montana,California,Estimate,485
Montana,California,Margin of Error,148
Montana,Colorado,Estimate,225
Montana,Colorado,Margin of Error,111
Montana,District of Columbia,Estimate,10
Montana,District of Columbia,Margin of Error,14
Montana,Florida,Estimate,55
Montana,Florida,Margin of Error,41
Montana,Georgia,Estimate,90
Montana,Georgia,Margin of Error,62
Montana,Idaho,Estimate,490
Montana,Idaho,Margin of Error,133
Montana,Illinois,Estimate,4
Montana,Illinois,Margin of Error,104
Montana,Indiana,Estimate,40
Montana,Indiana,Margin of Error,37
Montana,Iowa,Estimate,45
Montana,Iowa,Margin of Error,64
Montana,Kansas,Estimate,105
Montana,Kansas,Margin of Error,62
Montana,Kentucky,Estimate,10
Montana,Kentucky,Margin of Error,19
Montana,Louisiana,Estimate,25
Montana,Louisiana,Margin of Error,29
Montana,Maryland,Estimate,4
Montana,Maryland,Margin of Error,12
Montana,Massachusetts,Estimate,20
Montana,Massachusetts,Margin of Error,28
Montana,Michigan,Estimate,40
Montana,Michigan,Margin of Error,37
Montana,Minnesota,Estimate,135
Montana,Minnesota,Margin of Error,66
Montana,Mississippi,Estimate,4
Montana,Mississippi,Margin of Error,10
Montana,Missouri,Estimate,15
Montana,Missouri,Margin of Error,23
Montana,Montana,Estimate,"461,715"
Montana,Montana,Margin of Error,"2,813"
Montana,Nebraska,Estimate,20
Montana,Nebraska,Margin of Error,19
Montana,Nevada,Estimate,85
Montana,Nevada,Margin of Error,51
Montana,New Jersey,Estimate,4
Montana,New Jersey,Margin of Error,104
Montana,New Mexico,Estimate,60
Montana,New Mexico,Margin of Error,48
Montana,New York,Estimate,105
Montana,New York,Margin of Error,67
Montana,North Carolina,Estimate,4
Montana,North Carolina,Margin of Error,17
Montana,North Dakota,Estimate,895
Montana,North Dakota,Margin of Error,156
Montana,Ohio,Estimate,85
Montana,Ohio,Margin of Error,89
Montana,Oklahoma,Estimate,4
Montana,Oklahoma,Margin of Error,104
Montana,Oregon,Estimate,205
Montana,Oregon,Margin of Error,116
Montana,Pennsylvania,Estimate,45
Montana,Pennsylvania,Margin of Error,35
Montana,South Carolina,Estimate,20
Montana,South Carolina,Margin of Error,21
Montana,South Dakota,Estimate,60
Montana,South Dakota,Margin of Error,37
Montana,Tennessee,Estimate,40
Montana,Tennessee,Margin of Error,43
Montana,Texas,Estimate,225
Montana,Texas,Margin of Error,110
Montana,Utah,Estimate,425
Montana,Utah,Margin of Error,158
Montana,Vermont,Estimate,10
Montana,Vermont,Margin of Error,14
Montana,Virginia,Estimate,35
Montana,Virginia,Margin of Error,33
Montana,Washington,Estimate,555
Montana,Washington,Margin of Error,157
Montana,West Virginia,Estimate,10
Montana,West Virginia,Margin of Error,15
Montana,Wisconsin,Estimate,70
Montana,Wisconsin,Margin of Error,40
Montana,Wyoming,Estimate,"1,010"
Montana,Wyoming,Margin of Error,158
Nebraska,Alaska,Estimate,30
Nebraska,Alaska,Margin of Error,28
Nebraska,Arizona,Estimate,155
Nebraska,Arizona,Margin of Error,126
Nebraska,Arkansas,Estimate,25
Nebraska,Arkansas,Margin of Error,37
Nebraska,California,Estimate,235
Nebraska,California,Margin of Error,103
Nebraska,Colorado,Estimate,775
Nebraska,Colorado,Margin of Error,151
Nebraska,Connecticut,Estimate,10
Nebraska,Connecticut,Margin of Error,17
Nebraska,Delaware,Estimate,40
Nebraska,Delaware,Margin of Error,40
Nebraska,District of Columbia,Estimate,10
Nebraska,District of Columbia,Margin of Error,17
Nebraska,Florida,Estimate,110
Nebraska,Florida,Margin of Error,65
Nebraska,Georgia,Estimate,75
Nebraska,Georgia,Margin of Error,46
Nebraska,Idaho,Estimate,55
Nebraska,Idaho,Margin of Error,43
Nebraska,Illinois,Estimate,370
Nebraska,Illinois,Margin of Error,157
Nebraska,Indiana,Estimate,135
Nebraska,Indiana,Margin of Error,85
Nebraska,Iowa,Estimate,"16,255"
Nebraska,Iowa,Margin of Error,874
Nebraska,Kansas,Estimate,"1,885"
Nebraska,Kansas,Margin of Error,262
Nebraska,Kentucky,Estimate,35
Nebraska,Kentucky,Margin of Error,30
Nebraska,Louisiana,Estimate,65
Nebraska,Louisiana,Margin of Error,50
Nebraska,Maryland,Estimate,70
Nebraska,Maryland,Margin of Error,49
Nebraska,Massachusetts,Estimate,4
Nebraska,Massachusetts,Margin of Error,5
Nebraska,Michigan,Estimate,55
Nebraska,Michigan,Margin of Error,37
Nebraska,Minnesota,Estimate,160
Nebraska,Minnesota,Margin of Error,65
Nebraska,Mississippi,Estimate,50
Nebraska,Mississippi,Margin of Error,49
Nebraska,Missouri,Estimate,540
Nebraska,Missouri,Margin of Error,140
Nebraska,Montana,Estimate,30
Nebraska,Montana,Margin of Error,29
Nebraska,Nebraska,Estimate,"896,575"
Nebraska,Nebraska,Margin of Error,"3,614"
Nebraska,Nevada,Estimate,60
Nebraska,Nevada,Margin of Error,45
Nebraska,New Jersey,Estimate,70
Nebraska,New Jersey,Margin of Error,35
Nebraska,New Mexico,Estimate,20
Nebraska,New Mexico,Margin of Error,26
Nebraska,New York,Estimate,55
Nebraska,New York,Margin of Error,38
Nebraska,North Carolina,Estimate,85
Nebraska,North Carolina,Margin of Error,46
Nebraska,North Dakota,Estimate,85
Nebraska,North Dakota,Margin of Error,46
Nebraska,Ohio,Estimate,155
Nebraska,Ohio,Margin of Error,75
Nebraska,Oklahoma,Estimate,85
Nebraska,Oklahoma,Margin of Error,54
Nebraska,Oregon,Estimate,4
Nebraska,Oregon,Margin of Error,13
Nebraska,Pennsylvania,Estimate,55
Nebraska,Pennsylvania,Margin of Error,43
Nebraska,South Carolina,Estimate,30
Nebraska,South Carolina,Margin of Error,30
Nebraska,South Dakota,Estimate,"3,090"
Nebraska,South Dakota,Margin of Error,289
Nebraska,Tennessee,Estimate,60
Nebraska,Tennessee,Margin of Error,48
Nebraska,Texas,Estimate,345
Nebraska,Texas,Margin of Error,112
Nebraska,Utah,Estimate,40
Nebraska,Utah,Margin of Error,28
Nebraska,Virginia,Estimate,75
Nebraska,Virginia,Margin of Error,38
Nebraska,Washington,Estimate,75
Nebraska,Washington,Margin of Error,55
Nebraska,West Virginia,Estimate,4
Nebraska,West Virginia,Margin of Error,1
Nebraska,Wisconsin,Estimate,155
Nebraska,Wisconsin,Margin of Error,69
Nebraska,Wyoming,Estimate,775
Nebraska,Wyoming,Margin of Error,138
Nebraska,Puerto Rico,Estimate,10
Nebraska,Puerto Rico,Margin of Error,14
Nevada,Alabama,Estimate,20
Nevada,Alabama,Margin of Error,24
Nevada,Alaska,Estimate,140
Nevada,Alaska,Margin of Error,83
Nevada,Arizona,Estimate,"1,690"
Nevada,Arizona,Margin of Error,324
Nevada,Arkansas,Estimate,10
Nevada,Arkansas,Margin of Error,16
Nevada,California,Estimate,"12,450"
Nevada,California,Margin of Error,920
Nevada,Colorado,Estimate,325
Nevada,Colorado,Margin of Error,147
Nevada,Delaware,Estimate,4
Nevada,Delaware,Margin of Error,6
Nevada,District of Columbia,Estimate,40
Nevada,District of Columbia,Margin of Error,49
Nevada,Florida,Estimate,185
Nevada,Florida,Margin of Error,99
Nevada,Georgia,Estimate,125
Nevada,Georgia,Margin of Error,81
Nevada,Hawaii,Estimate,100
Nevada,Hawaii,Margin of Error,62
Nevada,Idaho,Estimate,410
Nevada,Idaho,Margin of Error,163
Nevada,Illinois,Estimate,355
Nevada,Illinois,Margin of Error,130
Nevada,Indiana,Estimate,160
Nevada,Indiana,Margin of Error,115
Nevada,Iowa,Estimate,55
Nevada,Iowa,Margin of Error,44
Nevada,Kansas,Estimate,25
Nevada,Kansas,Margin of Error,33
Nevada,Kentucky,Estimate,90
Nevada,Kentucky,Margin of Error,55
Nevada,Louisiana,Estimate,135
Nevada,Louisiana,Margin of Error,95
Nevada,Maryland,Estimate,60
Nevada,Maryland,Margin of Error,51
Nevada,Massachusetts,Estimate,50
Nevada,Massachusetts,Margin of Error,52
Nevada,Michigan,Estimate,155
Nevada,Michigan,Margin of Error,116
Nevada,Minnesota,Estimate,165
Nevada,Minnesota,Margin of Error,94
Nevada,Missouri,Estimate,75
Nevada,Missouri,Margin of Error,47
Nevada,Montana,Estimate,60
Nevada,Montana,Margin of Error,48
Nevada,Nebraska,Estimate,240
Nevada,Nebraska,Margin of Error,158
Nevada,Nevada,Estimate,"1,213,715"
Nevada,Nevada,Margin of Error,"5,457"
Nevada,New Jersey,Estimate,90
Nevada,New Jersey,Margin of Error,66
Nevada,New Mexico,Estimate,50
Nevada,New Mexico,Margin of Error,39
Nevada,New York,Estimate,505
Nevada,New York,Margin of Error,238
Nevada,North Carolina,Estimate,90
Nevada,North Carolina,Margin of Error,67
Nevada,North Dakota,Estimate,60
Nevada,North Dakota,Margin of Error,60
Nevada,Ohio,Estimate,245
Nevada,Ohio,Margin of Error,126
Nevada,Oklahoma,Estimate,35
Nevada,Oklahoma,Margin of Error,39
Nevada,Oregon,Estimate,175
Nevada,Oregon,Margin of Error,90
Nevada,Pennsylvania,Estimate,135
Nevada,Pennsylvania,Margin of Error,75
Nevada,South Carolina,Estimate,15
Nevada,South Carolina,Margin of Error,21
Nevada,Tennessee,Estimate,105
Nevada,Tennessee,Margin of Error,80
Nevada,Texas,Estimate,510
Nevada,Texas,Margin of Error,179
Nevada,Utah,Estimate,980
Nevada,Utah,Margin of Error,288
Nevada,Virginia,Estimate,165
Nevada,Virginia,Margin of Error,90
Nevada,Washington,Estimate,240
Nevada,Washington,Margin of Error,120
Nevada,West Virginia,Estimate,10
Nevada,West Virginia,Margin of Error,18
Nevada,Wisconsin,Estimate,75
Nevada,Wisconsin,Margin of Error,61
Nevada,Wyoming,Estimate,10
Nevada,Wyoming,Margin of Error,21
Nevada,Puerto Rico,Estimate,10
Nevada,Puerto Rico,Margin of Error,16
New Hampshire,Alaska,Estimate,20
New Hampshire,Alaska,Margin of Error,27
New Hampshire,Arizona,Estimate,65
New Hampshire,Arizona,Margin of Error,44
New Hampshire,California,Estimate,160
New Hampshire,California,Margin of Error,90
New Hampshire,Colorado,Estimate,80
New Hampshire,Colorado,Margin of Error,59
New Hampshire,Connecticut,Estimate,790
New Hampshire,Connecticut,Margin of Error,176
New Hampshire,Delaware,Estimate,10
New Hampshire,Delaware,Margin of Error,16
New Hampshire,District of Columbia,Estimate,90
New Hampshire,District of Columbia,Margin of Error,47
New Hampshire,Florida,Estimate,270
New Hampshire,Florida,Margin of Error,109
New Hampshire,Georgia,Estimate,65
New Hampshire,Georgia,Margin of Error,63
New Hampshire,Illinois,Estimate,245
New Hampshire,Illinois,Margin of Error,93
New Hampshire,Indiana,Estimate,40
New Hampshire,Indiana,Margin of Error,39
New Hampshire,Iowa,Estimate,20
New Hampshire,Iowa,Margin of Error,30
New Hampshire,Kentucky,Estimate,10
New Hampshire,Kentucky,Margin of Error,16
New Hampshire,Louisiana,Estimate,50
New Hampshire,Louisiana,Margin of Error,58
New Hampshire,Maine,Estimate,"7,955"
New Hampshire,Maine,Margin of Error,649
New Hampshire,Maryland,Estimate,100
New Hampshire,Maryland,Margin of Error,55
New Hampshire,Massachusetts,Estimate,"83,590"
New Hampshire,Massachusetts,Margin of Error,"1,640"
New Hampshire,Michigan,Estimate,105
New Hampshire,Michigan,Margin of Error,54
New Hampshire,Minnesota,Estimate,140
New Hampshire,Minnesota,Margin of Error,79
New Hampshire,Mississippi,Estimate,4
New Hampshire,Mississippi,Margin of Error,114
New Hampshire,Missouri,Estimate,40
New Hampshire,Missouri,Margin of Error,39
New Hampshire,Nebraska,Estimate,4
New Hampshire,Nebraska,Margin of Error,3
New Hampshire,New Hampshire,Estimate,"571,240"
New Hampshire,New Hampshire,Margin of Error,"3,174"
New Hampshire,New Jersey,Estimate,285
New Hampshire,New Jersey,Margin of Error,88
New Hampshire,New Mexico,Estimate,15
New Hampshire,New Mexico,Margin of Error,28
New Hampshire,New York,Estimate,"1,035"
New Hampshire,New York,Margin of Error,210
New Hampshire,North Carolina,Estimate,120
New Hampshire,North Carolina,Margin of Error,69
New Hampshire,Ohio,Estimate,215
New Hampshire,Ohio,Margin of Error,100
New Hampshire,Oklahoma,Estimate,25
New Hampshire,Oklahoma,Margin of Error,29
New Hampshire,Oregon,Estimate,30
New Hampshire,Oregon,Margin of Error,38
New Hampshire,Pennsylvania,Estimate,270
New Hampshire,Pennsylvania,Margin of Error,101
New Hampshire,Rhode Island,Estimate,365
New Hampshire,Rhode Island,Margin of Error,147
New Hampshire,South Carolina,Estimate,30
New Hampshire,South Carolina,Margin of Error,26
New Hampshire,South Dakota,Estimate,4
New Hampshire,South Dakota,Margin of Error,14
New Hampshire,Tennessee,Estimate,70
New Hampshire,Tennessee,Margin of Error,44
New Hampshire,Texas,Estimate,305
New Hampshire,Texas,Margin of Error,91
New Hampshire,Utah,Estimate,10
New Hampshire,Utah,Margin of Error,11
New Hampshire,Vermont,Estimate,"9,080"
New Hampshire,Vermont,Margin of Error,539
New Hampshire,Virginia,Estimate,155
New Hampshire,Virginia,Margin of Error,61
New Hampshire,Washington,Estimate,55
New Hampshire,Washington,Margin of Error,54
New Hampshire,West Virginia,Estimate,15
New Hampshire,West Virginia,Margin of Error,15
New Hampshire,Wisconsin,Estimate,65
New Hampshire,Wisconsin,Margin of Error,46
New Hampshire,Wyoming,Estimate,15
New Hampshire,Wyoming,Margin of Error,21
New Jersey,Alabama,Estimate,65
New Jersey,Alabama,Margin of Error,50
New Jersey,Alaska,Estimate,75
New Jersey,Alaska,Margin of Error,58
New Jersey,Arizona,Estimate,160
New Jersey,Arizona,Margin of Error,83
New Jersey,Arkansas,Estimate,35
New Jersey,Arkansas,Margin of Error,39
New Jersey,California,Estimate,"1,250"
New Jersey,California,Margin of Error,242
New Jersey,Colorado,Estimate,230
New Jersey,Colorado,Margin of Error,93
New Jersey,Connecticut,Estimate,"3,520"
New Jersey,Connecticut,Margin of Error,367
New Jersey,Delaware,Estimate,"8,105"
New Jersey,Delaware,Margin of Error,517
New Jersey,District of Columbia,Estimate,895
New Jersey,District of Columbia,Margin of Error,201
New Jersey,Florida,Estimate,"1,265"
New Jersey,Florida,Margin of Error,252
New Jersey,Georgia,Estimate,495
New Jersey,Georgia,Margin of Error,160
New Jersey,Hawaii,Estimate,30
New Jersey,Hawaii,Margin of Error,32
New Jersey,Illinois,Estimate,895
New Jersey,Illinois,Margin of Error,180
New Jersey,Indiana,Estimate,140
New Jersey,Indiana,Margin of Error,74
New Jersey,Iowa,Estimate,25
New Jersey,Iowa,Margin of Error,40
New Jersey,Kansas,Estimate,100
New Jersey,Kansas,Margin of Error,85
New Jersey,Kentucky,Estimate,95
New Jersey,Kentucky,Margin of Error,76
New Jersey,Louisiana,Estimate,210
New Jersey,Louisiana,Margin of Error,95
New Jersey,Maine,Estimate,110
New Jersey,Maine,Margin of Error,72
New Jersey,Maryland,Estimate,"1,910"
New Jersey,Maryland,Margin of Error,283
New Jersey,Massachusetts,Estimate,"1,425"
New Jersey,Massachusetts,Margin of Error,241
New Jersey,Michigan,Estimate,310
New Jersey,Michigan,Margin of Error,141
New Jersey,Minnesota,Estimate,165
New Jersey,Minnesota,Margin of Error,70
New Jersey,Mississippi,Estimate,10
New Jersey,Mississippi,Margin of Error,18
New Jersey,Missouri,Estimate,225
New Jersey,Missouri,Margin of Error,83
New Jersey,Montana,Estimate,40
New Jersey,Montana,Margin of Error,48
New Jersey,Nebraska,Estimate,60
New Jersey,Nebraska,Margin of Error,47
New Jersey,Nevada,Estimate,120
New Jersey,Nevada,Margin of Error,71
New Jersey,New Hampshire,Estimate,70
New Jersey,New Hampshire,Margin of Error,46
New Jersey,New Jersey,Estimate,"3,588,170"
New Jersey,New Jersey,Margin of Error,"10,010"
New Jersey,New Mexico,Estimate,4
New Jersey,New Mexico,Margin of Error,14
New Jersey,New York,Estimate,"384,280"
New Jersey,New York,Margin of Error,"4,680"
New Jersey,North Carolina,Estimate,590
New Jersey,North Carolina,Margin of Error,165
New Jersey,North Dakota,Estimate,50
New Jersey,North Dakota,Margin of Error,51
New Jersey,Ohio,Estimate,970
New Jersey,Ohio,Margin of Error,296
New Jersey,Oklahoma,Estimate,65
New Jersey,Oklahoma,Margin of Error,50
New Jersey,Oregon,Estimate,105
New Jersey,Oregon,Margin of Error,83
New Jersey,Pennsylvania,Estimate,"120,385"
New Jersey,Pennsylvania,Margin of Error,"2,309"
New Jersey,Rhode Island,Estimate,225
New Jersey,Rhode Island,Margin of Error,112
New Jersey,South Carolina,Estimate,265
New Jersey,South Carolina,Margin of Error,104
New Jersey,Tennessee,Estimate,150
New Jersey,Tennessee,Margin of Error,73
New Jersey,Texas,Estimate,860
New Jersey,Texas,Margin of Error,181
New Jersey,Utah,Estimate,150
New Jersey,Utah,Margin of Error,75
New Jersey,Vermont,Estimate,95
New Jersey,Vermont,Margin of Error,50
New Jersey,Virginia,Estimate,"1,650"
New Jersey,Virginia,Margin of Error,282
New Jersey,Washington,Estimate,155
New Jersey,Washington,Margin of Error,90
New Jersey,West Virginia,Estimate,35
New Jersey,West Virginia,Margin of Error,31
New Jersey,Wisconsin,Estimate,200
New Jersey,Wisconsin,Margin of Error,106
New Jersey,Wyoming,Estimate,10
New Jersey,Wyoming,Margin of Error,13
New Jersey,Puerto Rico,Estimate,110
New Jersey,Puerto Rico,Margin of Error,76
New Mexico,Alabama,Estimate,15
New Mexico,Alabama,Margin of Error,22
New Mexico,Alaska,Estimate,60
New Mexico,Alaska,Margin of Error,71
New Mexico,Arizona,Estimate,"3,495"
New Mexico,Arizona,Margin of Error,398
New Mexico,Arkansas,Estimate,30
New Mexico,Arkansas,Margin of Error,29
New Mexico,California,Estimate,735
New Mexico,California,Margin of Error,194
New Mexico,Colorado,Estimate,"2,240"
New Mexico,Colorado,Margin of Error,325
New Mexico,Connecticut,Estimate,65
New Mexico,Connecticut,Margin of Error,47
New Mexico,District of Columbia,Estimate,105
New Mexico,District of Columbia,Margin of Error,70
New Mexico,Florida,Estimate,90
New Mexico,Florida,Margin of Error,71
New Mexico,Georgia,Estimate,95
New Mexico,Georgia,Margin of Error,67
New Mexico,Hawaii,Estimate,30
New Mexico,Hawaii,Margin of Error,32
New Mexico,Idaho,Estimate,15
New Mexico,Idaho,Margin of Error,18
New Mexico,Illinois,Estimate,135
New Mexico,Illinois,Margin of Error,77
New Mexico,Indiana,Estimate,70
New Mexico,Indiana,Margin of Error,49
New Mexico,Iowa,Estimate,20
